Date,Credit/Debit,Transaction Name,Balance,Category
4/7/2024,-5,LAKESIDE ENTERPRISES UNIVERSITY OFAU Card xx4604,1234.46,Eating out
4/7/2024,-17.71,LUCA CURRIE PTY LTD WOOLLOONGABBA QL AUS Card xx4604 Value Date: 02/07/2024,1239.46,Eating out
3/7/2024,-22.95,DBS*Fitness Cartel Asp Aspley QL AUS Card xx4604 Value Date: 01/07/2024,1257.17,Entertainment
3/7/2024,-15,ANGELIKA FILM CENTRE WOOLLOONGABBA QL AUS Card xx4604 Value Date: 30/06/2024,1280.12,Entertainment
3/7/2024,-6.64,TCC Everton Hills Everton Hills QL AUS Card xx4604 Value Date: 30/06/2024,1295.12,Eating out
3/7/2024,-1,LITTLE RED DUMPLING WOOLLOONGABBA QL AUS Card xx4604 Value Date: 30/06/2024,1301.76,Food
3/7/2024,-4,LITTLE RED DUMPLING WOOLLOONGABBA QL AUS Card xx4604 Value Date: 30/06/2024,1302.76,Food
3/7/2024,-6.2,FOSTER & BLACK P/L CHERMSIDE QL AUS Card xx4604 Value Date: 29/06/2024,1306.76,Eating out
3/7/2024,-45,THE BARBER ROOM BRISBANE AUS Card xx4604 Value Date: 01/07/2024,1312.96,Entertainment
3/7/2024,-3.15,DRAKE SUPERMARKETS M MCDOWALL AUS Card xx4604 Value Date: 30/06/2024,1357.96,Food
2/7/2024,-10,Sportsbet,1361.11,Entertainment
2/7/2024,-4.27,SQ *HEY MR.DUTTON PARK Dutton Park QL AUS Card xx4604 Value Date: 28/06/2024,1371.11,Eating out
2/7/2024,-2.9,WOOLWORTHS 2678 ASPLEY AU AUS Card xx4604 Value Date: 28/06/2024,1375.38,Food
2/7/2024,-30,KMART 1218KMART 1218 ASPLEY AU AUS Card xx4604 Value Date: 28/06/2024,1378.28,Eating out
2/7/2024,-17.69,ZLR*sunshine kebab Aa Aspley AU AUS Card xx4604 Value Date: 28/06/2024,1408.28,Food
2/7/2024,-5.8,COLES 4547COLES 4547 CHERMSIDE AU AUS Card xx4604 Value Date: 29/06/2024,1425.97,Eating out
2/7/2024,-12.14,SQ *MELT BROTHERS CHER Chermside QL AUS Card xx4604 Value Date: 29/06/2024,1431.77,Eating out
2/7/2024,-6.7,MEKONG CHERMSIDE Chermside QL AUS Card xx4604 Value Date: 29/06/2024,1443.91,Food
2/7/2024,-22.9,CHERMSIDE FISH MARKET CHERMSIDE QL AUS Card xx4604 Value Date: 29/06/2024,1450.61,Food
2/7/2024,-11.61,CHERMSIDE BUTCHER CHERMSIDE QL AUS Card xx4604 Value Date: 29/06/2024,1473.51,Food
2/7/2024,-8.25,WOOLWORTHS 2865 WOOLLOONGABBA AU AUS Card xx4604 Value Date: 30/06/2024,1485.12,Eating out
2/7/2024,-27.13,LITTLE RED DUMPLING GA ROCHEDALE SOU QL AUS Card xx4604 Value Date: 30/06/2024,1493.37,Eating out
2/7/2024,-5.55,SQ *BRISBEAN COFFEE Alderley AU,1520.5,Entertainment
1/7/2024,-15.86,SQ *HEY MR.DUTTON PARK Dutton Park AU,1526.05,Eating out
30/6/2024,-10,Le Boulangerie Amour WoolloongabbaAU,1541.91,Food
29/6/2024,-97.49,AMPOL CHERMSIDE 11885F CHERMSIDE AUS Card xx4604 Value Date: 27/06/2024,1551.91,Travel
28/6/2024,-4.6,ALH VENUES 8098 MITCHELTON AU AUS Card xx4604 Value Date: 26/06/2024,1649.4,Eating out
28/6/2024,-47.13,COLES 4547COLES 4547 CHERMSIDE AU AUS Card xx4604 Value Date: 26/06/2024,1654,Food
28/6/2024,-4.6,ALH VENUES 8098 MITCHELTON AU AUS Card xx4604 Value Date: 26/06/2024,1701.13,Travel
28/6/2024,-20.48,CellOPark Australia Matraville NS AUS Card xx4604 Value Date: 26/06/2024,1705.73,Food
27/6/2024,-6.71,Direct Debit 617704 PAYPAL AUSTRALIA 1035282845122,1726.21,Entertainment
27/6/2024,726,Salary Q GROUP 25062024VAND,1732.92,Food
27/6/2024,-101.19,WWW.GFPEVENTS.COM.AU,1006.92,Eating out
27/6/2024,-1.69,Transfer to other Bank CommBank app heres a cigarette,1108.11,Entertainment
27/6/2024,-6.5,MUFFIN BREAK CHERMS CHERMSIDE AU,1109.8,Eating out
27/6/2024,-5.59,SQ *HEY MR.DUTTON PARK Dutton Park QL AUS Card xx4604 Value Date: 25/06/2024,1116.3,Eating out
27/6/2024,-14.3,SUSHI HUB ALBERT ST BRISBANE CITY QL AUS Card xx4604 Value Date: 24/06/2024,1121.89,Eating out
27/6/2024,-14.9,VIETS ROLL STREET FOOD WOOLLOONGABBA AUS Card xx4604 Value Date: 25/06/2024,1136.19,Food
26/6/2024,-1.15,MCDONALDS BROOKSIDE MITCHELTON QLDAU,1151.09,Food
26/6/2024,-27.93,Transfer to other Bank CommBank app food,1152.24,Eating out
26/6/2024,-12.3,COLES 4430 MITCHELTON AU,1180.17,Food
26/6/2024,-5.66,SQ *CAFFE CHERRY BEANS Chermside AU,1192.47,Eating out
26/6/2024,-22.95,DBS*Fitness Cartel Asp Aspley QL AUS Card xx4604 Value Date: 24/06/2024,1198.13,Entertainment
26/6/2024,-12.25,YO CHI ALBERT ST BRISBANE ADEL QL AUS Card xx4604 Value Date: 21/06/2024,1221.08,Eating out
26/6/2024,-5.55,SQ *BRISBEAN COFFEE Alderley QL AUS Card xx4604 Value Date: 25/06/2024,1233.33,Eating out
26/6/2024,-10,TRANSLINK SMARTTICKET QLD AUS Card xx4604 Value Date: 25/06/2024,1238.88,Food
25/6/2024,-34.5,chicken of rock Fortitude ValAU,1248.88,Food
25/6/2024,-5.59,SQ *HEY MR.DUTTON PARK Dutton Park AU,1283.38,Eating out
25/6/2024,-32,JB HI FI CHERMSIDE CHERMSIDE QL AUS Card xx4604 Value Date: 20/06/2024,1288.97,Food
25/6/2024,-30,TRANSLINK BRISBANE AUS Card xx4604 Value Date: 24/06/2024,1320.97,Food
24/6/2024,-17.02,Direct Debit 617704 PAYPAL AUSTRALIA 1035191940219,1350.97,Food
24/6/2024,-12.75,COLES 4334 BRISBANE AU,1367.99,Entertainment
24/6/2024,-11,LushAustraliaPOS Brisbane AU,1380.74,Utilities
24/6/2024,-23.38,SQ *HEY MR.DUTTON PARK Dutton Park AU,1391.74,Eating out
23/6/2024,-5,ZARRAFFAS COFFEE GROVELY KEPERRA QLD AU Card xx4604,1415.12,Food
23/6/2024,-88,Transfer To Christian Carbone CommBank App Happy birthday mate! -- ...,1420.12,Food
22/6/2024,-5.6,MUFFIN BREAK CHERMS CHERMSIDE AU,1508.12,Entertainment
22/6/2024,-5,COLES 4547COLES 4547 CHERMSIDE AU AUS Card xx4604 Value Date: 20/06/2024,1513.72,Travel
22/6/2024,-23.5,SMP*Cafe 63 Chermside Chermside AU AUS Card xx4604 Value Date: 20/06/2024,1518.72,Travel
21/6/2024,-10,KARAOKE CITY BRISBANE AU Card xx4604,1542.22,Travel
21/6/2024,-15.5,VIETS ROLL STREET FOOD WOOLLOONGABBAAU,1552.22,Eating out
21/6/2024,-5.55,SQ *BRISBEAN COFFEE Alderley AU,1567.72,Eating out
21/6/2024,-21.32,RODE MEATS STAFFORD HEIG QL AUS Card xx4604 Value Date: 19/06/2024,1573.27,Food
21/6/2024,-25,MED*ALDIMobile CHATSWOOD AU AUS Card xx4604 Value Date: 19/06/2024,1594.59,Eating out
21/6/2024,-18,KRUSTY KRAB SEAFOODS MCDOWALL QL AUS Card xx4604 Value Date: 18/06/2024,1619.59,Eating out
21/6/2024,-6.7,ZARRAFFAS COFFEE GROV KEPERRA AUS Card xx4604 Value Date: 19/06/2024,1637.59,Food
20/6/2024,726,Salary Q GROUP 18062024VAND,1644.29,Eating out
20/6/2024,-23.8,CHERMSIDE FISH MARKET CHERMSIDE QLD AU,918.29,Food
19/6/2024,-9.16,SQ *SOUFFLE JAPANCAKES Chermside QL AUS Card xx4604 Value Date: 17/06/2024,942.09,Food
19/6/2024,-22.95,DBS*Fitness Cartel Asp Aspley QL AUS Card xx4604 Value Date: 17/06/2024,951.25,Eating out
19/6/2024,-113.93,7-ELEVEN 4098 ASPLEY QL AUS Card xx4604 Value Date: 16/06/2024,974.2,Food
19/6/2024,-7.98,GZ BLUE PTY LTD BRISBANE CITY AUS Card xx4604 Value Date: 14/06/2024,1088.13,Food
18/6/2024,-5.5,CHEZ NOUS CAFE BRISBANE QL AUS Card xx4604 Value Date: 14/06/2024,1096.11,Food
18/6/2024,-5.1,8TH MCDOWALL CAFE PTY MCDOWALL AU AUS Card xx4604 Value Date: 16/06/2024,1101.61,Eating out
18/6/2024,-5.55,SQ *BRISBEAN COFFEE Alderley AU,1106.71,Food
17/6/2024,-4.98,SQ *HEY MR.DUTTON PARK Dutton Park AU,1112.26,Entertainment
15/6/2024,-38.55,COLES 4547 CHERMSIDE AU AUS Card xx4604 Value Date: 13/06/2024,1117.24,Eating out
14/6/2024,-7,99 Bikes Brisbane CBD Brisbane AU,1155.79,Food
14/6/2024,-16.15,MEKONG 2 CITY PTY LTD Brisbane AU,1162.79,Eating out
14/6/2024,-24.88,OFFICEWORKS 0415 ASPLEY AU AUS Card xx4604 Value Date: 12/06/2024,1178.94,Food
14/6/2024,-11.99,GOOGLE*PLAY BOOKS G.CO/HELPPAY# AU AUS Card xx4604 Value Date: 12/06/2024,1203.82,Eating out
14/6/2024,-5.3,STARBUCKS COFFEE D03 FORTITUDE VAL QL AUS Card xx4604 Value Date: 12/06/2024,1215.81,Eating out
14/6/2024,-18.5,GOLD LAYERS KANGAROO POIN QL AUS Card xx4604 Value Date: 12/06/2024,1221.11,Entertainment
14/6/2024,-5.56,COFFEE AT THE KOMBI SOUTH BRISBAN AUS Card xx4604 Value Date: 12/06/2024,1239.61,Food
13/6/2024,507,Salary Q GROUP 11062024VAND,1245.17,Food
13/6/2024,-5.6,MUFFIN BREAK CHERMS CHERMSIDE AU,738.17,Eating out
13/6/2024,-14.97,TEMU.COM PARRAMATTA NS AUS Card xx4604 Value Date: 11/06/2024,743.77,Food
13/6/2024,-30,TRANSLINK BRISBANE AUS Card xx4604 Value Date: 12/06/2024,758.74,Eating out
12/6/2024,-14,8TH MCDOWALL CAFE PTY MCDOWALL AU AUS Card xx4604 Value Date: 10/06/2024,788.74,Food
12/6/2024,-22.95,DBS*Fitness Cartel Asp Aspley QL AUS Card xx4604 Value Date: 10/06/2024,802.74,Food
12/6/2024,-7.86,YO GET IT QLD CHERMSIDE QL AUS Card xx4604 Value Date: 09/06/2024,825.69,Food
11/6/2024,-4.5,Krispy Kreme Albert St 131 Queen StrAU,833.55,Utilities
11/6/2024,-21,ZAIHOU PTY LTD BRISBANE CITYAU Card xx4604,838.05,Travel
11/6/2024,-12,CASSIS AUSTRALIA PTY L WOOLLOONGABBA AU AUS Card xx4604 Value Date: 07/06/2024,859.05,Food
11/6/2024,-17.5,KRUSTY KRAB SEAFOODS MCDOWALL QL AUS Card xx4604 Value Date: 06/06/2024,871.05,Eating out
11/6/2024,-39.75,COLES EXPRESS 1860 WINDSOR AU AUS Card xx4604 Value Date: 09/06/2024,888.55,Eating out
11/6/2024,-15.6,CantaloupeSystemsAustr Albion QL AUS Card xx4604 Value Date: 09/06/2024,928.3,Food
11/6/2024,-4,CantaloupeSystemsAustr Albion QL AUS Card xx4604 Value Date: 09/06/2024,943.9,Travel
11/6/2024,-5.55,SQ *BRISBEAN COFFEE Alderley AU,947.9,Eating out
10/6/2024,-23.9,Nandos_AU_Pinpads Newmarket AU,953.45,Utilities
10/6/2024,-5.94,UQU Bakery St Lucia AU,977.35,Eating out
10/6/2024,-5.08,UQU Bakery St Lucia AU,983.29,Food
10/6/2024,-14.14,DRAKE SUPERMARKETS M MCDOWALL AU,988.37,Entertainment
9/6/2024,-24.2,GYG WF Chermside Chermside AU,1002.51,Travel
