Date,Credit/Debit,Balance,Category
4/7/2024,-5,1234.46,Eating out
4/7/2024,-17.71,1239.46,Eating out
3/7/2024,-22.95,1257.17,Entertainment
3/7/2024,-15,1280.12,Entertainment
3/7/2024,-6.64,1295.12,Eating out
3/7/2024,-1,1301.76,Food
3/7/2024,-4,1302.76,Food
3/7/2024,-6.2,1306.76,Eating out
3/7/2024,-45,1312.96,Entertainment
3/7/2024,-3.15,1357.96,Food
2/7/2024,-10,1361.11,Entertainment
2/7/2024,-4.27,1371.11,Eating out
2/7/2024,-2.9,1375.38,Food
2/7/2024,-30,1378.28,Eating out
2/7/2024,-17.69,1408.28,Food
2/7/2024,-5.8,1425.97,Eating out
2/7/2024,-12.14,1431.77,Eating out
2/7/2024,-6.7,1443.91,Food
2/7/2024,-22.9,1450.61,Food
2/7/2024,-11.61,1473.51,Food
2/7/2024,-8.25,1485.12,Eating out
2/7/2024,-27.13,1493.37,Eating out
2/7/2024,-5.55,1520.5,Entertainment
1/7/2024,-15.86,1526.05,Eating out
30/6/2024,-10,1541.91,Food
29/6/2024,-97.49,1551.91,Travel
28/6/2024,-4.6,1649.4,Eating out
28/6/2024,-47.13,1654,Food
28/6/2024,-4.6,1701.13,Travel
28/6/2024,-20.48,1705.73,Food
27/6/2024,-6.71,1726.21,Entertainment
27/6/2024,726,1732.92,Food
27/6/2024,-101.19,1006.92,Eating out
27/6/2024,-1.69,1108.11,Entertainment
27/6/2024,-6.5,1109.8,Eating out
27/6/2024,-5.59,1116.3,Eating out
27/6/2024,-14.3,1121.89,Eating out
27/6/2024,-14.9,1136.19,Food
26/6/2024,-1.15,1151.09,Food
26/6/2024,-27.93,1152.24,Eating out
26/6/2024,-12.3,1180.17,Food
26/6/2024,-5.66,1192.47,Eating out
26/6/2024,-22.95,1198.13,Entertainment
26/6/2024,-12.25,1221.08,Eating out
26/6/2024,-5.55,1233.33,Eating out
26/6/2024,-10,1238.88,Food
25/6/2024,-34.5,1248.88,Food
25/6/2024,-5.59,1283.38,Eating out
25/6/2024,-32,1288.97,Food
25/6/2024,-30,1320.97,Food
24/6/2024,-17.02,1350.97,Food
24/6/2024,-12.75,1367.99,Entertainment
24/6/2024,-11,1380.74,Utilities
24/6/2024,-23.38,1391.74,Eating out
23/6/2024,-5,1415.12,Food
23/6/2024,-88,1420.12,Food
22/6/2024,-5.6,1508.12,Entertainment
22/6/2024,-5,1513.72,Travel
22/6/2024,-23.5,1518.72,Travel
21/6/2024,-10,1542.22,Travel
21/6/2024,-15.5,1552.22,Eating out
21/6/2024,-5.55,1567.72,Eating out
21/6/2024,-21.32,1573.27,Food
21/6/2024,-25,1594.59,Eating out
21/6/2024,-18,1619.59,Eating out
21/6/2024,-6.7,1637.59,Food
20/6/2024,726,1644.29,Eating out
20/6/2024,-23.8,918.29,Food
19/6/2024,-9.16,942.09,Food
19/6/2024,-22.95,951.25,Eating out
19/6/2024,-113.93,974.2,Food
19/6/2024,-7.98,1088.13,Food
18/6/2024,-5.5,1096.11,Food
18/6/2024,-5.1,1101.61,Eating out
18/6/2024,-5.55,1106.71,Food
17/6/2024,-4.98,1112.26,Entertainment
15/6/2024,-38.55,1117.24,Eating out
14/6/2024,-7,1155.79,Food
14/6/2024,-16.15,1162.79,Eating out
14/6/2024,-24.88,1178.94,Food
14/6/2024,-11.99,1203.82,Eating out
14/6/2024,-5.3,1215.81,Eating out
14/6/2024,-18.5,1221.11,Entertainment
14/6/2024,-5.56,1239.61,Food
13/6/2024,507,1245.17,Food
13/6/2024,-5.6,738.17,Eating out
13/6/2024,-14.97,743.77,Food
13/6/2024,-30,758.74,Eating out
12/6/2024,-14,788.74,Food
12/6/2024,-22.95,802.74,Food
12/6/2024,-7.86,825.69,Food
11/6/2024,-4.5,833.55,Utilities
11/6/2024,-21,838.05,Travel
11/6/2024,-12,859.05,Food
11/6/2024,-17.5,871.05,Eating out
11/6/2024,-39.75,888.55,Eating out
11/6/2024,-15.6,928.3,Food
11/6/2024,-4,943.9,Travel
11/6/2024,-5.55,947.9,Eating out
10/6/2024,-23.9,953.45,Utilities
10/6/2024,-5.94,977.35,Eating out
10/6/2024,-5.08,983.29,Food
10/6/2024,-14.14,988.37,Entertainment
9/6/2024,-24.2,1002.51,Travel
9/6/2024,-6.65,1026.71,Entertainment
9/6/2024,-18.5,1033.36,Eating out
9/6/2024,-5.56,1051.86,Eating out
8/6/2024,-26.24,1057.42,Eating out
8/6/2024,-5.3,1083.66,Food
8/6/2024,-3.7,1088.96,Eating out
7/6/2024,-90.99,1092.66,Food
7/6/2024,-5.59,1183.65,Entertainment
7/6/2024,-6.56,1189.24,Food
7/6/2024,-4.4,1195.8,Eating out
7/6/2024,-4.2,1200.2,Travel
7/6/2024,-4.58,1204.4,Eating out
7/6/2024,-11.2,1208.98,Food
7/6/2024,-13,1220.18,Travel
7/6/2024,-36.62,1233.18,Food
6/6/2024,-19.17,1269.8,Eating out
6/6/2024,-1,1288.97,Travel
6/6/2024,-5.1,1289.97,Eating out
6/6/2024,-14.6,1295.07,Food
6/6/2024,-4.74,1309.67,Eating out
5/6/2024,-17,1314.41,Entertainment
5/6/2024,-22.95,1331.41,Food
5/6/2024,-6,1354.36,Eating out
4/6/2024,-6.45,1360.36,Eating out
4/6/2024,-6,1366.81,Eating out
4/6/2024,-6.64,1372.81,Entertainment
4/6/2024,-53.2,1379.45,Eating out
4/6/2024,-14.6,1432.65,Travel
1/6/2024,-38.88,1447.25,Food
1/6/2024,38.88,1486.13,Eating out
31/5/2024,-21580,1447.25,Eating out
31/5/2024,21579.36,23027.25,Eating out
31/5/2024,-6,1447.89,Eating out
31/5/2024,-5,1453.89,Food
31/5/2024,-14.13,1458.89,Food
30/5/2024,-1500,1473.02,Eating out
30/5/2024,-19.95,2973.02,Food
30/5/2024,-11.9,2992.97,Food
30/5/2024,-12.9,3004.87,Food
29/5/2024,726,3017.77,Food
29/5/2024,-105.99,2291.77,Travel
29/5/2024,-22.95,2397.76,Eating out
29/5/2024,-27.08,2420.71,Eating out
28/5/2024,-21,2447.79,Eating out
28/5/2024,-13.01,2468.79,Travel
28/5/2024,-8.9,2481.8,Food
28/5/2024,-5.55,2490.7,Eating out
27/5/2024,-14.13,2496.25,Travel
27/5/2024,-4.98,2510.38,Travel
27/5/2024,-13.62,2515.36,Travel
